topic_index,topic_title,tag_name,question_index,question_id,part,question,answer
5,重要河流/湖泊,事物,2,672,3,How can rivers/lakes benefit local people?,"I think the best way is to combine personal effort with support from the wider environment. Governments need clear rules, but individuals also need habits that support those rules. Otherwise, environmental protection becomes a slogan rather than a daily practice. That is why I think it is important, especially when it improves people's real behaviour instead of just sounding positive."
5,重要河流/湖泊,事物,3,673,3,Do you think rivers/lakes attract tourists?,"Yes, generally speaking, but I would add one condition. Governments need clear rules, but individuals also need habits that support those rules. Otherwise, environmental protection becomes a slogan rather than a daily practice. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
5,重要河流/湖泊,事物,4,676,3,How do rivers and lakes affect local tourism?,"I think the best way is to combine personal effort with support from the wider environment. Governments need clear rules, but individuals also need habits that support those rules. Otherwise, environmental protection becomes a slogan rather than a daily practice. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
5,重要河流/湖泊,事物,5,677,3,Are rivers and lakes good for transport?,"Yes, generally speaking, but I would add one condition. A city needs reliable buses and trains, better road planning, and rules that make private car use less necessary during peak hours. One solution by itself usually just moves the problem somewhere else. That is why I think it is important, especially when it improves people's real behaviour instead of just sounding positive."
5,重要河流/湖泊,事物,6,675,3,Do you think rivers and lakes attract tourists?,"Yes, generally speaking, but I would add one condition. Governments need clear rules, but individuals also need habits that support those rules. Otherwise, environmental protection becomes a slogan rather than a daily practice. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
5,重要河流/湖泊,事物,7,671,3,Do people in your country go swimming in their spare time?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
5,重要河流/湖泊,事物,8,670,3,Is it necessary for everyone to learn swimming?,"Yes, generally speaking, but I would add one condition. Regular practice is more important than talent. People improve when they receive feedback, repeat useful language, and stay motivated even after making mistakes. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
5,重要河流/湖泊,事物,9,668,3,Do people like the rivers in your country?,"In my opinion, the key point is balance. Governments need clear rules, but individuals also need habits that support those rules. Otherwise, environmental protection becomes a slogan rather than a daily practice. Different groups may need different approaches, so a flexible answer is usually more realistic."
6,花费甚少的外出日,事件,1,657,2,Describe a special day out that cost you little money/didn’t cost you much You should say: When was the day Where you went How much you spent And explain how you feel about the day,"I would like to describe a special day out that cost you little money/didn’t cost you much. It happened last spring, and although it was not a huge event, it was memorable because I had to react in a sensible way.

The situation took place in a normal daily situation that became surprisingly memorable. At the beginning, I thought it would be straightforward, but it soon became more complicated than expected. I ended up staying calm, observing people carefully, and making a practical choice. During the process, I had to communicate clearly, manage my emotions, and make a few quick decisions. That is probably why the memory stayed with me.

The experience is closely related to everyday life and personal values. What I learned was that a small situation can still reveal a lot about a person's attitude. I felt a bit nervous at first, but afterwards I felt proud because I had handled it calmly. Overall, it was a realistic experience: not perfect, not dramatic, but definitely useful for my personal growth."
6,花费甚少的外出日,事件,2,652,3,Do people like to spend their leisure time outside in your country?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
6,花费甚少的外出日,事件,3,653,3,How do people spend their leisure time in China?,"I think the best way is to combine personal effort with support from the wider environment. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
6,花费甚少的外出日,事件,4,654,3,How does technology affect the way people spend their leisure time?,"I think the best way is to combine personal effort with support from the wider environment. Efficiency is the biggest advantage of technology, but overdependence is the danger. People should use it as a tool, not as a replacement for judgment or real interaction. Different groups may need different approaches, so a flexible answer is usually more realistic."
6,花费甚少的外出日,事件,5,655,3,Do you think only old people have time for leisure?,"Yes, generally speaking, but I would add one condition. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
6,花费甚少的外出日,事件,6,6269,3,Going out to have holidays is tiring. Why do people still want to do it?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
6,花费甚少的外出日,事件,7,6268,3,Why do people like to have days off?,"The main reason is that people's choices are shaped by both practical needs and emotions. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
6,花费甚少的外出日,事件,8,6267,3,How do people spend their leisure time in your country?,"I think the best way is to combine personal effort with support from the wider environment. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
6,花费甚少的外出日,事件,9,651,3,Is it possible to buy something from a physical store without money?,"Yes, generally speaking, but I would add one condition. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
6,花费甚少的外出日,事件,10,650,3,Why is online shopping so popular these days?,"The main reason is that people's choices are shaped by both practical needs and emotions. Efficiency is the biggest advantage of technology, but overdependence is the danger. People should use it as a tool, not as a replacement for judgment or real interaction. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
6,花费甚少的外出日,事件,11,649,3,Have you ever had a bad shopping experience?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. The main risk is choosing the easiest short-term solution and ignoring the long-term cost."
6,花费甚少的外出日,事件,12,648,3,How can people save as much money as possible?,"I think the best way is to combine personal effort with support from the wider environment. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
6,花费甚少的外出日,事件,13,647,3,Do teenagers spend more money than they used to?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
7,想要颁布的环保法律,事件,1,6278,2,Describe an environmental law you would like your country to introduce You should say: What law it should be Why people should follow the law Whether the law will be popular And explain how you feel about this law,"I would like to describe an environmental law I would like my country to introduce. It happened during the winter holiday, and although it was not a huge event, it was memorable because I had to react in a sensible way.

The situation took place near a park by the river. At the beginning, I thought it would be straightforward, but it soon became more complicated than expected. I ended up thinking about how small habits, like carrying a bottle, could reduce waste. During the process, I had to communicate clearly, manage my emotions, and make a few quick decisions. That is probably why the memory stayed with me.

The experience is closely related to environment and nature. What I learned was that a small situation can still reveal a lot about a person's attitude. I felt a bit nervous at first, but afterwards I felt proud because I had handled it calmly. Overall, it was a realistic experience: not perfect, not dramatic, but definitely useful for my personal growth."
7,想要颁布的环保法律,事件,2,6282,3,What environmentallaws does your country already have?,"In my opinion, the key point is balance. Governments need clear rules, but individuals also need habits that support those rules. Otherwise, environmental protection becomes a slogan rather than a daily practice. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
7,想要颁布的环保法律,事件,3,6281,3,Will there be a law that is universally accepted?,"In my opinion, the key point is balance. Governments need clear rules, but individuals also need habits that support those rules. Otherwise, environmental protection becomes a slogan rather than a daily practice. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
7,想要颁布的环保法律,事件,4,6280,3,What kinds of rules do schools in China have?,"In my opinion, the key point is balance. Regular practice is more important than talent. People improve when they receive feedback, repeat useful language, and stay motivated even after making mistakes. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
7,想要颁布的环保法律,事件,5,6279,3,How does technology affect the law?,"I think the best way is to combine personal effort with support from the wider environment. Governments need clear rules, but individuals also need habits that support those rules. Otherwise, environmental protection becomes a slogan rather than a daily practice. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
8,别人帮助解决问题,事件,1,6270,2,Describe a time when a person did something tohelp you solve a problem You should say: Who the person is What the problem was How he/she helped you And explain how you felt about the experience,"I would like to talk about Aiden, who is a good example of a time when a person did something tohelp you solve a problem. I have known this person for quite a while, so my answer is based on real impressions rather than just one dramatic incident.

I first got to know Aiden one Saturday afternoon, and what stood out to me was the way this person behaved in ordinary situations. We spent time together in a normal daily situation that became surprisingly memorable, and I noticed that Aiden was patient, reliable, and surprisingly good at making other people feel comfortable. For example, when there was a small disagreement, Aiden did not try to win the argument immediately. Instead, this person listened first and then offered a sensible suggestion.

The reason I remember Aiden so clearly is connected with personal growth and problem solving. This person showed me that character is often revealed in small habits, not in big speeches. I also learned that being impressive does not always mean being loud or perfect. Sometimes it simply means being consistent, thoughtful, and useful when other people need support. That is why I still have a very positive impression of Aiden."
8,别人帮助解决问题,事件,2,6271,3,How important is it for schools to help children pecome smarter?,"I think the best way is to combine personal effort with support from the wider environment. Regular practice is more important than talent. People improve when they receive feedback, repeat useful language, and stay motivated even after making mistakes. That is why I think it is important, especially when it improves people's real behaviour instead of just sounding positive."
9,包含动物的故事或书,事物,1,6254,2,Describe a story/book with animals in it You should say: What animals are in it What the story/book is about Why you read the story/book And explain what you think of this story/book,"I would like to talk about a pair of wireless earbuds, which is a suitable example of a story/book with animals in it. It may sound ordinary at first, but it became meaningful because of the way I used it.

I got it last summer, and I mainly used it near a park by the river. What made it useful was not the price or the design, but the fact that it solved a real problem. I remember thinking about how small habits, like carrying a bottle, could reduce waste. That small routine made me feel more organised and more in control of my day.

This object is connected with environment and nature. It reminded me that useful things do not have to be expensive or impressive. A good object should fit a person's real needs and make life slightly smoother. For that reason, I still remember it clearly, and I would describe it as practical, reliable, and unexpectedly important."
9,包含动物的故事或书,事物,2,6260,3,Why do people always tell children stories with animals?,"The main reason is that people's choices are shaped by both practical needs and emotions. Governments need clear rules, but individuals also need habits that support those rules. Otherwise, environmental protection becomes a slogan rather than a daily practice. Different groups may need different approaches, so a flexible answer is usually more realistic."
9,包含动物的故事或书,事物,3,6259,3,What are the advantages of keeping a pet?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. That is why I think it is important, especially when it improves people's real behaviour instead of just sounding positive."
9,包含动物的故事或书,事物,4,6258,3,Do many people keep pets in your country?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
9,包含动物的故事或书,事物,5,6257,3,Many people regard pets as members of thei family. What do you think?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
9,包含动物的故事或书,事物,6,6256,3,Some people think pets should not be kept in cities. What do you think?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
9,包含动物的故事或书,事物,7,6255,3,Should schools teach children about animals?,"In my opinion, the key point is balance. Regular practice is more important than talent. People improve when they receive feedback, repeat useful language, and stay motivated even after making mistakes. Different groups may need different approaches, so a flexible answer is usually more realistic."
10,很久没收到回复的信息,事件,1,6253,2,Describe a time when you sent a message or anemail to someone but received no reply for a longtime You should say: Who you sent it to What the message/email was about Whether you finally received the reply And explain how you felt about the experience,"I would like to describe a time when I sent a message and did not receive a reply for a long time. It happened a few months ago, and although it was not a huge event, it was memorable because I had to react in a sensible way.

The situation took place after school, when we had plenty of time but very little money. At the beginning, I thought it would be straightforward, but it soon became more complicated than expected. I ended up talking honestly, sharing snacks, and making small plans together. During the process, I had to communicate clearly, manage my emotions, and make a few quick decisions. That is probably why the memory stayed with me.

The experience is closely related to friendship and communication. What I learned was that a small situation can still reveal a lot about a person's attitude. I felt a bit nervous at first, but afterwards I felt proud because I had handled it calmly. Overall, it was a realistic experience: not perfect, not dramatic, but definitely useful for my personal growth."
10,很久没收到回复的信息,事件,2,6266,3,Why do some people feel angry when others don't reply to their message?,"The main reason is that people's choices are shaped by both practical needs and emotions. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
10,很久没收到回复的信息,事件,3,6265,3,How do you show your respect in your messages?,"I think the best way is to combine personal effort with support from the wider environment. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
10,很久没收到回复的信息,事件,4,6264,3,Why do some people prefer sending a messageinstead of making a call?,"The main reason is that people's choices are shaped by both practical needs and emotions. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
10,很久没收到回复的信息,事件,5,6263,3,What would you do if you did not receive a reply after sending out a message?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
10,很久没收到回复的信息,事件,6,6262,3,In what situations do people not respond to messages at all?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
10,很久没收到回复的信息,事件,7,6261,3,In what situations do people spend a long time responding to others' messages?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
11,组织快乐活动,事件,1,6243,2,Describe a time when you organized a happy eventsuccessfully You should say What the event was How you prepared for it Who helped you to organize it And explain why you think it was a successful event,"I would like to talk about a reusable water bottle, which is a suitable example of a time when I organized a happy eventsuccessfully. It may sound ordinary at first, but it became meaningful because of the way I used it.

I got it when I was in high school, and I mainly used it at home when I urgently needed to finish something online. What made it useful was not the price or the design, but the fact that it solved a real problem. I remember trying different solutions instead of panicking. That small routine made me feel more organised and more in control of my day.

This object is connected with technology and modern life. It reminded me that useful things do not have to be expensive or impressive. A good object should fit a person's real needs and make life slightly smoother. For that reason, I still remember it clearly, and I would describe it as practical, reliable, and unexpectedly important."
11,组织快乐活动,事件,2,6252,3,Do you prefer to prepare and organize an activity or just take part in an activity?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
11,组织快乐活动,事件,3,6249,3,How would you feel when you were not well prepared for something?,"I think the best way is to combine personal effort with support from the wider environment. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
11,组织快乐活动,事件,4,6248,3,Do people need others' help when organizing things?,"In my opinion, the key point is balance. The result is important, but the process can be even more valuable. People learn confidence by dealing with pressure, making decisions, and accepting feedback. Different groups may need different approaches, so a flexible answer is usually more realistic."
11,组织快乐活动,事件,5,6246,3,Does everything need to be well prepared?,"In my opinion, the key point is balance. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
11,组织快乐活动,事件,6,6245,3,On what occasions do people need to be organized?,"In my opinion, the key point is balance. Food is not only about taste. It carries memory, respect, and family identity, especially during festivals or important gatherings. Different groups may need different approaches, so a flexible answer is usually more realistic."
11,组织快乐活动,事件,7,6244,3,How can parents help children to be organized?,"I think the best way is to combine personal effort with support from the wider environment. The result is important, but the process can be even more valuable. People learn confidence by dealing with pressure, making decisions, and accepting feedback. Different groups may need different approaches, so a flexible answer is usually more realistic."
12,长久目标/抱负,事件,1,6236,2,Describe a long-term goal/ambition you would like to achieve You should say: How long you have had this goal/ambition What it is How you will achieve it And explain why you set it,"I would like to describe a long-term goal I would like to achieve. It happened last spring, and although it was not a huge event, it was memorable because I had to react in a sensible way.

The situation took place during a school project meeting. At the beginning, I thought it would be straightforward, but it soon became more complicated than expected. I ended up dividing tasks clearly and checking progress every evening. During the process, I had to communicate clearly, manage my emotions, and make a few quick decisions. That is probably why the memory stayed with me.

The experience is closely related to work, business, and teamwork. What I learned was that a small situation can still reveal a lot about a person's attitude. I felt a bit nervous at first, but afterwards I felt proud because I had handled it calmly. Overall, it was a realistic experience: not perfect, not dramatic, but definitely useful for my personal growth."
12,长久目标/抱负,事件,2,6242,3,What should people do to achieve their goals?,"In my opinion, the key point is balance. Skills matter, but reliability and communication often matter just as much. A person who can cooperate well is usually more valuable than someone who is talented but difficult to work with. Different groups may need different approaches, so a flexible answer is usually more realistic."
12,长久目标/抱负,事件,3,6241,3,What goals do young people usually have?,"In my opinion, the key point is balance. Skills matter, but reliability and communication often matter just as much. A person who can cooperate well is usually more valuable than someone who is talented but difficult to work with. Different groups may need different approaches, so a flexible answer is usually more realistic."
12,长久目标/抱负,事件,4,6240,3,Is it necessary to give advice to children?,"Yes, generally speaking, but I would add one condition. People's answers often depend on age, income, habits, and family background. That is why a simple topic can lead to very different opinions. Different groups may need different approaches, so a flexible answer is usually more realistic."
12,长久目标/抱负,事件,5,6239,3,What goals do people at your age have?,"In my opinion, the key point is balance. Skills matter, but reliability and communication often matter just as much. A person who can cooperate well is usually more valuable than someone who is talented but difficult to work with. Different groups may need different approaches, so a flexible answer is usually more realistic."
12,长久目标/抱负,事件,6,6238,3,Do people need to have goals?,"In my opinion, the key point is balance. Skills matter, but reliability and communication often matter just as much. A person who can cooperate well is usually more valuable than someone who is talented but difficult to work with. Different groups may need different approaches, so a flexible answer is usually more realistic."
12,长久目标/抱负,事件,7,6237,3,What goals should a society have?,"In my opinion, the key point is balance. Skills matter, but reliability and communication often matter just as much. A person who can cooperate well is usually more valuable than someone who is talented but difficult to work with. So I would say it is useful when people use it thoughtfully and avoid taking it to an extreme."
13,遇到困难终成功的人,人物,1,6232,2,Describe a person who met difficulties but succeeded You should say Who this person is What difficulties he met How he overcame the difficulties And explain how you feel about him,"I would like to talk about Grace, who is a good example of a person who met difficulties but succeeded. I have known this person for quite a while, so my answer is based on real impressions rather than just one dramatic incident.

I first got to know Grace during the winter holiday, and what stood out to me was the way this person behaved in ordinary situations. We spent time together in a normal daily situation that became surprisingly memorable, and I noticed that Grace was patient, reliable, and surprisingly good at making other people feel comfortable. For example, when there was a small disagreement, Grace did not try to win the argument immediately. Instead, this person listened first and then offered a sensible suggestion.

The reason I remember Grace so clearly is connected with personal growth and problem solving. This person showed me that character is often revealed in small habits, not in big speeches. I also learned that being impressive does not always mean being loud or perfect. Sometimes it simply means being consistent, thoughtful, and useful when other people need support. That is why I still have a very positive impression of Grace."
